Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1736631006898,1400,1399,1399,1400,1399,1400,1400,1400,1399,1399,1399,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,22095.798400878906,233207.20373535156,155.9234619140625,0,4325376,10833920,33210380288,8589930496,1232900096,0
200,1736631006898,1442,1417,1400,1400,1433,1416,1353,1399,1399,1400,1400,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,22095.832580566406,233207.22387695313,155.9234619140625,0,4325376,10833920,33210380288,8589930496,1233932288,0
200,1736631007099,2100,2100,1351,1363,1955,1802,1368,1452,1443,1325,1269,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,22097.308349609375,233207.9237060547,155.9234619140625,0,4325376,10833920,33210380288,8589930496,1232875520,0
199,1736631007299,2100,1755,1102,1149,400,1908,1462,1455,1419,1456,1310,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,22098.678344726563,233208.5467529297,155.9234619140625,100.41841125488281,4325376,10833920,33210380288,8589930496,1231978496,0
200,1736631007499,2099,2013,1460,1159,1930,1785,1361,1302,1370,1368,1454,1461,0,0,0,0,0,0,0,0,0,0,0,0,0,22100.059448242188,233209.1690673828,155.9234619140625,105.4393310546875,4325376,10833920,33210380288,8589930496,1231712256,0
200,1736631007699,2100,1524,1499,1424,1835,1627,1177,1120,1122,1132,1416,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,22101.43145751953,233209.80389404297,155.9234619140625,47.69874572753906,4325376,10833920,33210380288,8589930496,1235243008,0
200,1736631007899,2100,2005,1402,1455,2100,2099,1481,1473,1424,1483,1317,1414,0,0,0,0,0,0,0,0,0,0,0,0,0,22102.810668945313,233210.43432617188,155.9234619140625,100.41841125488281,4325376,10833920,33210380288,8589930496,1234644992,0
200,1736631008099,2099,2011,1487,1472,2100,1899,1453,1473,1472,1460,1300,1468,0,0,0,0,0,0,0,0,0,0,0,0,0,22104.183654785156,233211.06158447266,155.9234619140625,104.99999237060547,4325376,10833920,33210380288,8589930496,1233747968,0
200,1736631008299,2100,1993,1431,1427,1978,1982,1473,1403,1451,1471,1333,1418,97.26026916503906,2.816901445388794,1.3698630332946777,1.3698630332946777,2.0547945499420166,1.3793103694915771,2.0547945499420166,1.3793103694915771,2.0547945499420166,2.0547945499420166,1.3793103694915771,1.3698630332946777,0,22105.55712890625,233211.689453125,155.9234619140625,100,4325376,10833920,33210380288,8589930496,1233244160,0
200,1736631008500,2100,2100,1399,1417,1944,1974,1339,1259,1362,1379,1388,1360,100,0,0,0,0,0,0,0,0,0,0,0,0,22106.929931640625,233212.3168334961,155.9234619140625,100.41841125488281,4325376,10833920,33210380288,8589930496,1232945152,0
200,1736631008700,2100,2046,1439,1370,1931,1961,1433,1355,1434,1434,400,400,100,0,0,0,0,0,0,0,0,0,0,0,0,22108.30145263672,233212.94403076172,155.9234619140625,100,4325376,10833920,33210380288,8589930496,1232601088,0
200,1736631008900,2099,1725,1451,1422,1700,1878,1372,1438,1407,1445,1308,1354,100,0,0,0,0,0,0,0,0,0,0,0,0,22109.69091796875,233213.5844116211,155.9234619140625,95.39749145507813,4325376,10833920,33210380288,8589930496,1232003072,0
200,1736631009100,2099,2099,1499,1500,2099,2100,1500,1500,1024,1305,1500,1444,100,0,4.761904716491699,4.761904716491699,0,4.761904716491699,4.761904716491699,4.761904716491699,0,0,4.761904716491699,0,0,22111.07061767578,233214.21740722656,155.9234619140625,105.8823471069336,4325376,10833920,33210380288,8589930496,1231704064,0
200,1736631009300,2100,2100,1499,1500,2100,2100,1190,1499,1499,1499,917,1500,100,0,4.761904716491699,4.761904716491699,0,4.761904716491699,4.761904716491699,4.761904716491699,0,0,4.761904716491699,0,0,22112.44110107422,233214.84149169922,155.92413330078125,99.58505249023438,4325376,10833920,33210380288,8589930496,1239363584,0
200,1736631009500,2100,2100,400,1427,1968,1988,1419,1460,1472,1467,400,1419,100,0,0,0,0,0,0,0,0,0,0,0,0,22113.814025878906,233215.47241210938,155.92413330078125,100,4325376,10833920,33210380288,8589930496,1238999040,0
200,1736631009701,2099,2048,1471,1406,1930,1943,1500,1440,1444,1467,400,1372,100,0,0,0,0,0,0,0,0,0,0,0,0,22115.175415039063,233216.09619140625,155.92413330078125,100.41841125488281,4325376,10833920,33210380288,8589930496,1238401024,0
