Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1737296199850,1400,1400,1400,1400,1400,1400,1400,1399,1400,1399,1400,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,127767.1812133789,154358.82092285156,192.872314453125,0,4849664,11878400,33210380288,8589930496,1256861696,0
200,1737296199850,1400,1400,1278,1288,1332,1365,1400,1400,1400,1400,1273,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,127767.20349121094,154358.83380126953,192.872314453125,0,4849664,11878400,33210380288,8589930496,1256861696,0
200,1737296200050,2099,1893,1439,1472,2100,2100,1499,1500,1500,1458,1328,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,127768.71356201172,154359.56994628906,192.872314453125,0,4849664,11878400,33210380288,8589930496,1261989888,0
200,1737296200250,2100,1911,1240,1237,1992,1442,1402,1469,1454,1452,1417,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,127770.15118408203,154360.2589111328,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1261989888,0
199,1737296200451,2100,2020,1405,1499,1460,1906,1434,1244,1433,1434,400,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,127771.59155273438,154360.9501953125,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1263050752,0
200,1737296200651,2100,2032,1377,1333,1788,1666,1424,1433,1454,1461,1377,1283,93.84615325927734,3.125,1.5625,3.076923131942749,3.0303030014038086,4.615384578704834,3.076923131942749,3.076923131942749,4.477612018585205,3.0303030014038086,3.0303030014038086,3.076923131942749,0,127773.02630615234,154361.63720703125,192.872314453125,100,4849664,11878400,33210380288,8589930496,1263050752,0
200,1737296200851,2100,1803,1459,1443,1836,1917,879,1441,1194,1403,400,1444,100,0,0,0,0,0,0,0,0,0,0,0,0,127774.45739746094,154362.3226928711,192.872314453125,100,4849664,11878400,33210380288,8589930496,1263050752,0
200,1737296201051,2100,1855,1444,1330,1916,1820,1418,1440,1346,1321,1337,1427,100,0,0,0,0,0,0,0,0,0,0,0,0,127775.8949584961,154363.0108642578,192.872314453125,50.209205627441406,4849664,11878400,33210380288,8589930496,1263050752,0
200,1737296201251,2099,1456,1413,400,1848,1897,400,1291,1256,1332,1404,1398,100,0,0,0,0,0,0,0,0,0,0,0,0,127777.33032226563,154363.69757080078,192.872314453125,100,4849664,11878400,33210380288,8589930496,1263050752,0
200,1737296201451,2100,2007,1333,1385,1930,1840,1499,1464,1500,1437,400,1334,100,0,0,0,0,0,0,0,0,0,0,0,0,127778.7709350586,154364.38635253906,192.872314453125,100,4849664,11878400,33210380288,8589930496,1261592576,0
200,1737296201651,2100,2006,1425,1436,2100,2081,1500,1500,1239,1499,1419,1432,100,0,0,0,0,0,0,0,0,0,0,0,0,127780.20379638672,154365.07220458984,192.872314453125,100,4849664,11878400,33210380288,8589930496,1261592576,0
200,1737296201851,2100,2021,400,1133,1925,1801,1352,1413,1500,1453,1126,400,100,0,0,0,0,0,0,0,0,0,0,0,0,127781.63854980469,154365.75811767578,192.872314453125,52.60960388183594,4849664,11878400,33210380288,8589930496,1261592576,0
200,1737296202052,2100,1881,1435,1349,1932,2100,1423,1477,1434,1427,400,1455,100,0,0,0,0,0,0,0,0,0,0,0,0,127783.07049560547,154366.4444580078,192.872314453125,50.10437774658203,4849664,11878400,33210380288,8589930496,1261592576,0
200,1737296202252,2100,497,400,400,400,1821,400,1433,1213,1309,400,1068,100,0,0,0,0,0,0,0,0,0,0,0,0,127784.5161743164,154367.13995361328,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1261592576,0
200,1737296202452,2100,1940,1408,1144,2044,2099,1500,1499,1478,1480,1305,1500,100,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,127785.95300292969,154367.8296508789,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1258524672,0
200,1737296202652,2099,1468,1216,1458,1655,1706,1048,1063,1016,1020,1109,1044,100,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,127787.38134765625,154368.51220703125,192.872314453125,100.84033203125,4849664,11878400,33210380288,8589930496,1258524672,0
200,1737296202852,2100,1706,751,767,1214,1753,851,1105,1124,1299,962,695,100,0,0,0,0,0,0,0,0,0,0,0,0,127788.8169555664,154369.2021484375,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1258524672,0
200,1737296203052,2100,2019,597,1460,2100,1579,1499,844,580,1480,1439,1499,100,0,0,0,0,0,0,0,0,0,0,0,0,127790.24536132813,154369.88610839844,192.872314453125,50.10437774658203,4849664,11878400,33210380288,8589930496,1258524672,0
200,1737296203253,2100,2055,1485,1474,1962,1966,1500,1499,1453,1477,400,1461,100,0,0,0,0,0,0,0,0,0,0,0,0,127791.69219970703,154370.5819091797,192.872314453125,99.1735610961914,4849664,11878400,33210380288,8589930496,1258225664,0
200,1737296203453,2100,2050,1474,1438,1733,1911,1347,1369,1400,1404,400,1470,100,0,0,0,0,0,0,0,0,0,0,0,0,127793.09033203125,154371.23516845703,192.872314453125,95.39749145507813,4849664,11878400,33210380288,8589930496,1255751680,0
200,1737296203653,2100,1513,1390,1500,1849,1614,1359,1440,1333,1422,1410,1414,100,0,0.9900990128517151,0.9900990128517151,1.9801980257034302,1,1,0,0.9900990128517151,1.9607844352722168,0,0,0,127794.5228881836,154371.91595458984,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1255751680,0
200,1737296203853,2100,1170,400,1238,1826,1442,1283,400,1259,400,400,1354,100,0,0,0,0,0,0,0,0,0,0,0,0,127795.96875,154372.6092529297,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1255751680,0
200,1737296204053,2100,549,400,400,1471,471,400,400,400,400,400,400,100,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,127797.40148925781,154373.2947998047,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1255751680,0
200,1737296204254,2099,2043,1500,1475,1989,1910,1413,1408,1437,1459,1468,400,100,5,0,0,0,0,4.761904716491699,0,0,4.761904716491699,0,0,0,127798.83068847656,154373.9774169922,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1255751680,0
200,1737296204454,2100,2001,400,400,1380,400,400,1468,1331,1350,400,400,100,0,0,0,0,0,0,0,0,0,0,0,0,127800.2847290039,154374.67681884766,192.872314453125,99.1735610961914,4849664,11878400,33210380288,8589930496,1253343232,0
200,1737296204654,2100,1680,1382,1366,1782,1921,1385,1436,1220,1449,400,1386,100,0,0,0,0,0,0,0,0,0,0,0,0,127801.7015991211,154375.35137939453,192.872314453125,100.84033203125,4849664,11878400,33210380288,8589930496,1253343232,0
200,1737296204854,2100,1695,1392,1353,1537,1807,1370,1263,1409,1500,1500,1363,100,0,0,0,0,0,0,0,0,0,0,0,0,127803.15594482422,154376.05249023438,192.872314453125,50.10437774658203,4849664,11878400,33210380288,8589930496,1253343232,0
200,1737296205054,2100,2024,1453,400,1894,2100,1404,1461,400,1425,400,1452,100,0,0,0,0,0,0,0,0,0,0,0,0,127804.59088134766,154376.73931884766,192.872314453125,100,4849664,11878400,33210380288,8589930496,1253343232,0
200,1737296205254,2100,2093,1420,1421,1887,1992,1478,1436,1427,1478,1389,1408,100,0,0,0,0,0,0,0,0,0,0,0,0,127805.96978759766,154377.36669921875,192.872314453125,90.37657165527344,4849664,11878400,33210380288,8589930496,1253093376,0
199,1737296205455,2100,1961,1469,1470,1977,1822,1406,1409,1461,1409,400,1441,100,0,0,0,0,0,0,0,0,0,0,0,0,127807.40924072266,154378.05462646484,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1251151872,0
200,1737296205655,2099,2056,1458,1440,1958,1930,1369,1376,1381,1381,1406,1461,100,0,0,0,0,0,0,0,0,0,0,0,0,127808.84698486328,154378.74548339844,192.872314453125,100,4849664,11878400,33210380288,8589930496,1251151872,0
200,1737296205855,2100,1930,1384,1377,1825,1606,1441,1298,1372,1430,1318,1359,100,0,0,0,0,0,0,0,0,0,0,0,0,127810.28393554688,154379.43286132813,192.872314453125,100.84033203125,4849664,11878400,33210380288,8589930496,1251151872,0
200,1737296206055,2100,494,958,400,400,400,1199,988,400,1183,979,1198,100,0,0,0,0,0,0,0,0,0,0,0,0,127811.73461914063,154380.13165283203,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1251151872,0
200,1737296206255,2100,1834,1370,1348,1519,1733,1467,1308,1216,1257,400,1378,98.89502716064453,0.5714285373687744,0.5555555820465088,0.5555555820465088,0.5555555820465088,0.5555555820465088,0,0.5555555820465088,0.5555555820465088,0,0.5524861812591553,1.1049723625183105,0,127813.16174316406,154380.81353759766,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1250852864,0
200,1737296206455,2100,478,400,400,1529,400,440,400,400,400,400,400,100,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,127814.61047363281,154381.5101928711,192.872314453125,100,4849664,11878400,33210380288,8589930496,1249189888,0
200,1737296206656,2100,1843,1399,1368,1879,1828,1434,1500,1473,1387,1324,1312,100,0,0,0,4.761904716491699,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,0,127816.0425415039,154382.1958618164,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1249189888,0
199,1737296206856,2100,1908,1473,1445,1888,1900,1413,1415,1465,400,1439,1409,100,0,0,0,4.761904716491699,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,0,127817.4771118164,154382.88153076172,192.872314453125,99.1735610961914,4849664,11878400,33210380288,8589930496,1249189888,0
200,1737296207056,2100,2055,1464,1373,1959,1921,1363,1461,1318,1466,1499,1467,100,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,127818.91882324219,154383.5740966797,192.872314453125,100.84033203125,4849664,11878400,33210380288,8589930496,1249189888,0
200,1737296207256,2100,1829,1316,1451,1823,1935,1316,1332,1444,1461,1394,1449,100,0,0,0,0,0,0,0,0,0,0,0,0,127820.35162353516,154384.259765625,192.872314453125,100,4849664,11878400,33210380288,8589930496,1249189888,0
200,1737296207456,2100,1845,1356,1383,1776,1776,1093,1164,1229,1214,400,1150,100,0,0,0,0,0,0,0,0,0,0,0,0,127821.78900146484,154384.9481201172,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1247490048,0
200,1737296207656,2100,1630,1500,570,2100,1791,490,1500,484,1499,682,1500,100,0,0,5,0,0,0,4.761904716491699,0,5,4.761904716491699,0,0,127823.2260131836,154385.6353149414,192.872314453125,100,4849664,11878400,33210380288,8589930496,1247490048,0
200,1737296207856,2100,2099,1463,1454,1997,1974,1396,1377,1404,1390,400,1449,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,127824.67932128906,154386.3348388672,192.872314453125,100,4849664,11878400,33210380288,8589930496,1247490048,0
200,1737296208057,2100,2048,1420,1457,2099,1965,1399,1395,1401,1377,400,1408,100,0,0,0,0,0,0,0,0,0,0,0,0,127826.11975097656,154387.02563476563,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1247490048,0
200,1737296208257,2100,1703,1383,1330,1556,1904,1356,1446,1359,1401,1141,1183,100,0,0,0,0,0,0,0,0,0,0,0,0,127827.55780029297,154387.71459960938,192.872314453125,100,4849664,11878400,33210380288,8589930496,1247191040,0
200,1737296208457,2100,1795,1451,1447,1981,1918,1408,1404,1330,1423,400,1500,100,0,0,0,0,0,0,0,0,0,0,0,0,127828.97595214844,154388.3829345703,192.872314453125,100.41841125488281,4849664,11878400,33210380288,8589930496,1245913088,0
