Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1737291055688,1600,1600,1600,1600,0,0,0,0,150901.9786376953,215992.10931396484,132609.59564208984,0,0,5115904,14585856,33610452992,34317791232,3770589184,2895872
200,1737291055688,1600,1600,1600,1600,0,0,0,0,150901.99725341797,215992.17901611328,132609.6323852539,0,0,5115904,14585856,33610452992,34317791232,3770589184,2895872
199,1737291055888,1600,1600,1600,1600,0,0,0,0,150902.6746826172,215994.07147216797,132610.28674316406,0,0,5115904,14585856,33610452992,34317791232,3783598080,2895872
199,1737291056088,1600,1600,1600,1600,0,0,0,0,150903.35595703125,215996.00201416016,132610.96685791016,0,63.4920654296875,5115904,14585856,33610452992,34317791232,3781185536,2895872
199,1737291056288,1600,1600,1600,1600,0,0,0,0,150904.0126953125,215997.76403808594,132611.50762939453,0,47.79874038696289,5115904,14585856,33610452992,34317791232,3780128768,2895872
199,1737291056488,1600,1600,1600,1600,0,0,0,0,150904.6558227539,215999.498046875,132612.04223632813,0,52.8301887512207,5115904,14585856,33610452992,34317791232,3778727936,2895872
199,1737291056688,1599,1600,1600,1600,0,0,0,0,150905.3081665039,216001.22821044922,132612.56872558594,0,47.79874038696289,5115904,14585856,33610452992,34317791232,3800514560,2895872
199,1737291056888,1599,1600,1600,1600,0,0,0,0,150905.96350097656,216002.9429321289,132613.09313964844,0,103.89610290527344,5115904,14585856,33610452992,34317791232,3838447616,2895872
199,1737291057088,1599,1600,1600,1600,0,0,0,0,150906.62243652344,216004.67950439453,132613.625,0,98.76543426513672,5115904,14585856,33610452992,34317791232,3869155328,2895872
199,1737291057288,1599,1600,1600,1600,0,0,0,0,150907.2787475586,216006.3765258789,132614.13793945313,0,101.26582336425781,5115904,14585856,33610452992,34317791232,3899863040,2895872
199,1737291057488,1600,1600,1600,1600,0,0,0,0,150907.9370727539,216008.0858154297,132614.64514160156,0,101.26582336425781,5115904,14585856,33610452992,34317791232,3930570752,2895872
199,1737291057689,1600,1600,1600,1600,0,0,0,0,150908.59381103516,216009.78997802734,132615.1668701172,0,98.76543426513672,5115904,14585856,33610452992,34317791232,3961278464,2895872
199,1737291057889,1599,1600,1600,1600,0,0,0,0,150909.2505493164,216011.51977539063,132615.69702148438,0,93.82715606689453,5115904,14585856,33610452992,34317791232,3992244224,2895872
199,1737291058089,1599,1600,1600,1600,0,0,0,0,150909.92248535156,216013.27142333984,132616.22442626953,0,101.20482635498047,5115904,14585856,33610452992,34317791232,4023758848,2895872
199,1737291058289,1599,1600,1600,1600,0,0,0,0,150910.6416015625,216014.88342285156,132616.67120361328,0,91.5662612915039,5115904,14585856,33610452992,34317791232,4093657088,2895872
199,1737291058489,1600,1600,1600,1600,0,0,0,0,150911.4599609375,216016.46002197266,132617.0595703125,0,52.499996185302734,5115904,14585856,33610452992,34317791232,4205649920,2895872
199,1737291058689,1600,1600,1600,1600,0,0,0,0,150912.36853027344,216018.06549072266,132617.4501953125,0,100,5115904,14585856,33610452992,34317791232,4317900800,2895872
199,1737291058889,1599,1600,1600,1600,97.58307647705078,7.854984760284424,7.831325531005859,8.181818008422852,150913.32348632813,216019.70935058594,132617.8748779297,0,100,5115904,14585856,33610452992,34317791232,4149243904,2895872
199,1737291059089,1600,1600,1600,1600,97.58307647705078,7.854984760284424,7.831325531005859,8.181818008422852,150913.94763183594,216021.1976928711,132618.27075195313,0,100,5115904,14585856,33610452992,34317791232,4149243904,2895872
199,1737291059289,1600,1600,1600,1600,97.58307647705078,7.854984760284424,7.831325531005859,8.181818008422852,150914.56872558594,216022.6742553711,132618.65838623047,0,49.6894416809082,5115904,14585856,33610452992,34317791232,4149243904,2895872
199,1737291059489,1599,1600,1600,1600,100,4.918032646179199,3.3333334922790527,3.3333334922790527,150915.1903076172,216024.15466308594,132619.05072021484,0,49.6894416809082,5115904,14585856,33610452992,34317791232,4149137408,2895872
199,1737291059689,1600,1600,1600,1600,100,0,0,5,150915.8116455078,216025.63262939453,132619.44213867188,0,100,5115904,14585856,33610452992,34317791232,4149137408,2895872
199,1737291059890,1600,1600,1600,1600,100,4.761904716491699,5,4.761904716491699,150916.43298339844,216027.13934326172,132619.85089111328,0,100,5115904,14585856,33610452992,34317791232,4149137408,2895872
199,1737291060090,1599,1600,1600,1600,100,0,5,5,150917.05688476563,216028.63818359375,132620.25274658203,0,100,5115904,14585856,33610452992,34317791232,4149137408,2895872
199,1737291060290,1600,1600,1600,1600,100,5.263157844543457,0,5,150917.6879272461,216030.18420410156,132620.68853759766,0,101.26582336425781,5115904,14585856,33610452992,34317791232,4149137408,2895872
199,1737291060490,1599,1600,1600,1600,100,5.263157844543457,0,5,150918.306640625,216031.65356445313,132621.07543945313,0,101.26582336425781,5115904,14585856,33610452992,34317791232,4149133312,2895872
199,1737291060690,1599,1600,1600,1600,100,5.263157844543457,0,5,150918.93145751953,216033.14038085938,132621.4701538086,0,50.31446838378906,5115904,14585856,33610452992,34317791232,4149133312,2895872
199,1737291060890,1600,1600,1600,1600,100,1.6666667461395264,1.6949152946472168,3.3898305892944336,150919.54943847656,216034.64263916016,132621.87768554688,0,50.31446838378906,5115904,14585856,33610452992,34317791232,4149133312,2895872
199,1737291061090,1599,1600,1600,1600,100,5,0,0,150920.1737060547,216036.1357421875,132622.2742919922,0,100,5115904,14585856,33610452992,34317791232,4149133312,2895872
199,1737291061290,1600,1600,1600,1600,100,5,9.523809432983398,4.761904716491699,150920.8002319336,216037.68811035156,132622.70587158203,0,98.76543426513672,5115904,14585856,33610452992,34317791232,4149133312,2895872
199,1737291061490,1600,1600,1600,1600,100,0,5.263157844543457,5,150921.42413330078,216039.23559570313,132623.1346435547,0,102.5641098022461,5115904,14585856,33610452992,34317791232,4149133312,2895872
199,1737291061690,1599,1600,1600,1600,100,0,5.263157844543457,5,150922.0447998047,216040.71966552734,132623.5272216797,0,98.76543426513672,5115904,14585856,33610452992,34317791232,4149133312,2895872
199,1737291061890,1599,1600,1600,1600,100,0,5,5,150922.6674194336,216042.23699951172,132623.94464111328,0,101.26582336425781,5115904,14585856,33610452992,34317791232,4149133312,2895872
200,1737291062090,1599,1600,1600,1600,100,0,5,5,150923.2885131836,216043.72119140625,132624.33770751953,0,100,5115904,14585856,33610452992,34317791232,4149133312,2895872
200,1737291062290,1599,1600,1600,1600,100,0,5,5,150923.90893554688,216045.1971435547,132624.7241821289,0,50,5115904,14585856,33610452992,34317791232,4149133312,2895872
199,1737291062491,1599,1600,1600,1600,100,1.6949152946472168,1.6949152946472168,3.278688430786133,150924.52947998047,216046.67584228516,132625.1157836914,0,50,5115904,14585856,33610452992,34317791232,4149133312,2895872
200,1737291062691,1600,1600,1600,1600,100,4.761904716491699,4.761904716491699,0,150925.1494140625,216048.14825439453,132625.50262451172,0,100,5115904,14585856,33610452992,34317791232,4149133312,2895872
200,1737291062891,1600,1600,1600,1600,100,5,5,0,150925.77069091797,216049.65826416016,132625.91247558594,0,101.26582336425781,5115904,14585856,33610452992,34317791232,4149133312,2895872
200,1737291063091,1600,1600,1600,1600,100,5,5,0,150926.39099121094,216051.1382446289,132626.3032836914,0,97.56097412109375,5115904,14585856,33610452992,34317791232,4149133312,2895872
200,1737291063291,1599,1600,1600,1600,100,0,0,0,150927.0106201172,216052.61529541016,132626.69158935547,0,102.5641098022461,5115904,14585856,33610452992,34317791232,4149133312,2895872
200,1737291063491,1600,1600,1600,1600,100,0,5,4.761904716491699,150927.6339111328,216054.1102294922,132627.08251953125,0,98.76543426513672,5115904,14585856,33610452992,34317791232,4149133312,2895872
200,1737291063691,1600,1600,1600,1600,100,5,0,5,150928.25360107422,216055.60180664063,132627.48468017578,0,101.26582336425781,5115904,14585856,33610452992,34317791232,4149133312,2895872
199,1737291063891,1600,1600,1600,1600,100,5,0,5,150928.87475585938,216057.1231689453,132627.9005126953,0,101.26582336425781,5115904,14585856,33610452992,34317791232,4149133312,2895872
199,1737291064091,1599,1600,1600,1600,100,0,0,0,150929.49517822266,216058.6117553711,132628.29266357422,0,100,5115904,14585856,33610452992,34317791232,4149133312,2895872
200,1737291064291,1599,1600,1600,1600,100,0,0,0,150930.11486816406,216060.08520507813,132628.6805419922,0,101.26582336425781,5115904,14585856,33610452992,34317791232,4149133312,2895872
199,1737291064491,1600,1600,1600,1600,100,0,0,0,150930.73468017578,216061.56158447266,132629.0682373047,0,50.31446838378906,5115904,14585856,33610452992,34317791232,4149133312,2895872
200,1737291064692,1599,1600,1600,1600,100,0,0,0,150931.35443115234,216063.04595947266,132629.4610595703,0,100,5115904,14585856,33610452992,34317791232,4149133312,2895872
200,1737291064892,1600,1600,1600,1600,100,0,0,0,150931.9754638672,216064.5714111328,132629.87677001953,0,98.76543426513672,5115904,14585856,33610452992,34317791232,4149133312,2895872
200,1737291065092,1599,1600,1600,1600,100,0,0,0,150932.59576416016,216066.0521850586,132630.26873779297,0,100,5115904,14585856,33610452992,34317791232,4149133312,2895872
200,1737291065292,1600,1600,1600,1600,100,0,0,0,150933.2152709961,216067.52508544922,132630.65447998047,0,101.26582336425781,5115904,14585856,33610452992,34317791232,4149133312,2895872
199,1737291065492,1600,1600,1600,1600,100,0,0,0,150933.84631347656,216069.07885742188,132631.09539794922,0,98.76543426513672,5115904,14585856,33610452992,34317791232,4149129216,2895872
199,1737291065692,1599,1600,1600,1600,100,3.125,3.1055901050567627,3.750000238418579,150934.4672241211,216070.5541381836,132631.48626708984,0,98.76543426513672,5115904,14585856,33610452992,34317791232,4149129216,2895872
199,1737291065892,1599,1600,1600,1600,100,0,0,5,150935.0883178711,216072.08319091797,132631.90252685547,0,100,5115904,14585856,33610452992,34317791232,4149129216,2895872
200,1737291066092,1600,1600,1600,1600,100,0,0,5,150935.70989990234,216073.57189941406,132632.29931640625,0,101.26582336425781,5115904,14585856,33610452992,34317791232,4149129216,2895872
199,1737291066292,1600,1600,1600,1600,100,0,0,5,150936.32977294922,216075.04888916016,132632.68688964844,0,50,5115904,14585856,33610452992,34317791232,4149129216,2895872
200,1737291066492,1599,1600,1600,1600,100,3.3333334922790527,3.3333334922790527,3.3333334922790527,150936.95043945313,216076.5291748047,132633.07849121094,0,50,5115904,14585856,33610452992,34317791232,4149129216,2895872
