Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1737150296346,1600,1600,1600,1600,0,0,0,0,216826.47686767578,226084.9620361328,116174.46942138672,0,0,1003520,8568832,33610452992,34317791232,3763007488,2895872
199,1737150296346,1600,1600,1600,1600,0,0,0,0,216826.49603271484,226085.03253173828,116174.50646972656,0,0,1003520,8568832,33610452992,34317791232,3763007488,2895872
199,1737150296547,1600,1600,1600,1600,0,0,0,0,216827.17443847656,226086.90368652344,116175.13385009766,0,0,1003520,8568832,33610452992,34317791232,3763220480,2895872
199,1737150296747,1600,1600,1600,1600,0,0,0,0,216827.85418701172,226088.83947753906,116175.83227539063,0,65.0406494140625,1003520,8568832,33610452992,34317791232,3771338752,2895872
199,1737150296947,1599,1600,1600,1600,0,0,0,0,216828.50360107422,226090.6033935547,116176.37854003906,0,50.31446838378906,1003520,8568832,33610452992,34317791232,3770343424,2895872
199,1737150297147,1599,1600,1600,1600,0,0,0,0,216829.15783691406,226092.35900878906,116176.92504882813,0,96.2025375366211,1003520,8568832,33610452992,34317791232,3769348096,2895872
199,1737150297347,1600,1600,1600,1600,0,0,0,0,216829.80352783203,226094.04364013672,116177.4271850586,0,106.32911682128906,1003520,8568832,33610452992,34317791232,3788259328,2895872
199,1737150297547,1599,1600,1600,1600,0,0,0,0,216830.4536743164,226095.7491455078,116177.93579101563,0,50.955413818359375,1003520,8568832,33610452992,34317791232,3825934336,2895872
199,1737150297747,1599,1600,1600,1600,0,0,0,0,216831.11181640625,226097.46978759766,116178.45477294922,0,100,1003520,8568832,33610452992,34317791232,3856642048,2895872
199,1737150297947,1600,1600,1600,1600,0,0,0,0,216831.77313232422,226099.19604492188,116178.97857666016,0,98.76543426513672,1003520,8568832,33610452992,34317791232,3888381952,2895872
199,1737150298147,1599,1600,1600,1600,0,0,0,0,216832.42205810547,226100.91625976563,116179.50457763672,0,98.76543426513672,1003520,8568832,33610452992,34317791232,3918831616,2895872
199,1737150298347,1600,1600,1600,1600,0,0,0,0,216833.08209228516,226102.6517944336,116180.02551269531,0,50.632911682128906,1003520,8568832,33610452992,34317791232,3950571520,2895872
199,1737150298547,1600,1600,1600,1600,0,0,0,0,216833.7367553711,226104.36071777344,116180.53955078125,0,101.26582336425781,1003520,8568832,33610452992,34317791232,3981279232,2895872
199,1737150298747,1599,1600,1600,1600,0,0,0,0,216834.384765625,226106.04425048828,116181.0454711914,0,96.2025375366211,1003520,8568832,33610452992,34317791232,4011986944,2895872
200,1737150298948,1599,1600,1600,1600,0,0,0,0,216835.14166259766,226107.68975830078,116181.4898071289,0,50.955413818359375,1003520,8568832,33610452992,34317791232,4091981824,2895872
200,1737150299148,1599,1600,1600,1600,0,0,0,0,216835.95739746094,226109.28564453125,116181.88879394531,0,50.955413818359375,1003520,8568832,33610452992,34317791232,4204490752,2895872
199,1737150299348,1600,1600,1600,1600,0,0,0,0,216836.89337158203,226110.90130615234,116182.2787475586,0,50,1003520,8568832,33610452992,34317791232,4332998656,2895872
199,1737150299548,1600,1600,1600,1600,0,0,0,0,216837.82263183594,226112.51538085938,116182.68841552734,0,50,1003520,8568832,33610452992,34317791232,4134301696,2895872
199,1737150299748,1600,1600,1600,1600,98.18182373046875,5.521472454071045,8.868501663208008,5.775075912475586,216838.44091796875,226114.0115966797,116183.0942993164,0,100,1003520,8568832,33610452992,34317791232,4134301696,2895872
200,1737150299948,1599,1600,1600,1600,98.18182373046875,5.521472454071045,8.868501663208008,5.775075912475586,216839.06024169922,226115.51068115234,116183.49981689453,0,50.31446838378906,1003520,8568832,33610452992,34317791232,4134301696,2895872
199,1737150300148,1599,1600,1600,1600,98.18182373046875,5.521472454071045,8.868501663208008,5.775075912475586,216839.68798828125,226117.07232666016,116183.94348144531,0,101.26582336425781,1003520,8568832,33610452992,34317791232,4134301696,2895872
199,1737150300348,1600,1600,1600,1600,100,3.750000238418579,2.5,1.2658227682113647,216840.30712890625,226118.56939697266,116184.34881591797,0,101.26582336425781,1003520,8568832,33610452992,34317791232,4134301696,2895872
199,1737150300548,1599,1600,1600,1600,100,0,5,0,216840.9268798828,226120.07495117188,116184.75915527344,0,98.76543426513672,1003520,8568832,33610452992,34317791232,4134301696,2895872
199,1737150300748,1600,1600,1600,1600,100,0,5,0,216841.5469970703,226121.5844116211,116185.17114257813,0,101.26582336425781,1003520,8568832,33610452992,34317791232,4134301696,2895872
199,1737150300948,1600,1600,1600,1600,100,0,0,0,216842.16595458984,226123.0864868164,116185.57611083984,0,98.76543426513672,1003520,8568832,33610452992,34317791232,4134301696,2895872
200,1737150301148,1600,1600,1600,1600,100,0,0,0,216842.7866821289,226124.64672851563,116186.01483154297,0,101.26582336425781,1003520,8568832,33610452992,34317791232,4134301696,2895872
199,1737150301349,1600,1600,1600,1600,100,0,0,5,216843.41162109375,226126.1767578125,116186.44323730469,0,100,1003520,8568832,33610452992,34317791232,4134301696,2895872
200,1737150301549,1599,1600,1600,1600,100,9.523809432983398,0,0,216844.03247070313,226127.67907714844,116186.8529663086,0,100,1003520,8568832,33610452992,34317791232,4134297600,2895872
199,1737150301749,1600,1600,1600,1600,100,0,4.761904716491699,0,216844.65338134766,226129.19134521484,116187.26629638672,0,100,1003520,8568832,33610452992,34317791232,4134297600,2895872
200,1737150301949,1600,1600,1600,1600,100,0,5,4.761904716491699,216845.27294921875,226130.68670654297,116187.67095947266,0,100,1003520,8568832,33610452992,34317791232,4134297600,2895872
200,1737150302149,1599,1600,1600,1600,100,5,0,5,216845.89764404297,226132.2364501953,116188.10760498047,0,100,1003520,8568832,33610452992,34317791232,4134297600,2895872
200,1737150302349,1600,1600,1600,1600,100,4.761904716491699,5,0,216846.51721191406,226133.73260498047,116188.50494384766,0,101.26582336425781,1003520,8568832,33610452992,34317791232,4134297600,2895872
200,1737150302549,1599,1600,1600,1600,100,4.761904716491699,5,0,216847.13397216797,226135.22399902344,116188.91564941406,0,100,1003520,8568832,33610452992,34317791232,4134297600,2895872
200,1737150302749,1599,1600,1600,1600,100,4.761904716491699,5,0,216847.7573852539,226136.74334716797,116189.33331298828,0,49.38271713256836,1003520,8568832,33610452992,34317791232,4134297600,2895872
199,1737150302949,1600,1600,1600,1600,100,4.761904716491699,5,0,216848.3770751953,226138.24127197266,116189.73919677734,0,97.56097412109375,1003520,8568832,33610452992,34317791232,4134297600,2895872
200,1737150303149,1600,1600,1600,1600,100,2.5,3.7037036418914795,4.878048419952393,216848.9971923828,226139.79364013672,116190.17413330078,0,97.56097412109375,1003520,8568832,33610452992,34317791232,4134297600,2895872
200,1737150303349,1599,1600,1600,1600,100,5,5,0,216849.6192626953,226141.3080444336,116190.59118652344,0,101.26582336425781,1003520,8568832,33610452992,34317791232,4134297600,2895872
200,1737150303550,1600,1600,1600,1600,100,5,5,0,216850.23944091797,226142.81475830078,116191.00268554688,0,100,1003520,8568832,33610452992,34317791232,4134297600,2895872
199,1737150303750,1600,1600,1600,1600,100,9.090909004211426,5,4.761904716491699,216850.85974121094,226144.32159423828,116191.41455078125,0,98.76543426513672,1003520,8568832,33610452992,34317791232,4134297600,2895872
